"","style_family","style"
"1","Bocks","Bock - Doppelbock *"
"2","Bocks","Bock - Eisbock"
"3","Bocks","Bock - Maibock *"
"4","Bocks","Bock - Traditional"
"5","Bocks","Bock - Weizenbock *"
"6","Brown Ales","Altbier"
"7","Brown Ales","Brown Ale - American *"
"8","Brown Ales","Brown Ale - Belgian Dark"
"9","Brown Ales","Brown Ale - English"
"10","Brown Ales","Mild Ale - English Dark"
"11","Dark Ales","Dubbel"
"12","Dark Ales","Rye Beer - Roggenbier"
"13","Dark Ales","Scottish Ale *"
"14","Dark Ales","Winter Warmer"
"15","Dark Lagers","Lager - American Amber / Red *"
"16","Dark Lagers","Lager - European Dark"
"17","Dark Lagers","Lager - Märzen"
"18","Dark Lagers","Lager - Munich Dunkel"
"19","Dark Lagers","Lager - Rauchbier"
"20","Dark Lagers","Lager - Schwarzbier"
"21","Dark Lagers","Lager - Vienna"
"22","Hybrid Beers","Bière de Champagne / Bière Brut"
"23","Hybrid Beers","Braggot"
"24","Hybrid Beers","California Common / Steam Beer"
"25","Hybrid Beers","Cream Ale"
"26","India Pale Ales","IPA - American"
"27","India Pale Ales","IPA - Belgian"
"28","India Pale Ales","IPA - Black / Cascadian Dark Ale"
"29","India Pale Ales","IPA - Brut"
"30","India Pale Ales","IPA - English"
"31","India Pale Ales","IPA - Imperial"
"32","India Pale Ales","IPA - New England *"
"33","Pale Ales","Bitter - English"
"34","Pale Ales","Bitter - English Extra Special / Strong Bitter (ESB)"
"35","Pale Ales","Blonde Ale - Belgian *"
"36","Pale Ales","Blonde Ale - American"
"37","Pale Ales","Farmhouse Ale - Bière de Garde *"
"38","Pale Ales","Farmhouse Ale - Saison *"
"39","Pale Ales","Kölsch"
"40","Pale Ales","Mild Ale - English Pale"
"41","Pale Ales","Pale Ale - American"
"42","Pale Ales","Pale Ale - Belgian"
"43","Pale Ales","Pale Ale - English"
"44","Pale Ales","Red Ale - American Amber / Red *"
"45","Pale Ales","Red Ale - Irish"
"46","Pale Lagers","Lager - Adjunct"
"47","Pale Lagers","Lager - American *"
"48","Pale Lagers","Lager - European / Dortmunder Export *"
"49","Pale Lagers","Lager - European Pale"
"50","Pale Lagers","Lager - European Strong"
"51","Pale Lagers","Lager - Festbier / Wiesnbier"
"52","Pale Lagers","Lager - Helles *"
"53","Pale Lagers","Lager - India Pale Lager (IPL)"
"54","Pale Lagers","Lager - Kellerbier / Zwickelbier"
"55","Pale Lagers","Lager - Light"
"56","Pale Lagers","Lager - Malt Liquor"
"57","Pale Lagers","Pilsner - Bohemian / Czech *"
"58","Pale Lagers","Pilsner - German *"
"59","Pale Lagers","Pilsner - Imperial"
"60","Porters","Porter - American"
"61","Porters","Porter - Baltic"
"62","Porters","Porter - English"
"63","Porters","Porter - Imperial *"
"64","Porters","Porter - Robust *"
"65","Porters","Porter - Smoked *"
"66","Specialty Beers","Chile Beer"
"67","Specialty Beers","Farmhouse Ale - Sahti"
"68","Specialty Beers","Fruit and Field Beer *"
"69","Specialty Beers","Gruit / Ancient Herbed Ale"
"70","Specialty Beers","Happoshu"
"71","Specialty Beers","Herb and Spice Beer *"
"72","Specialty Beers","Kvass"
"73","Specialty Beers","Lager - Japanese Rice"
"74","Specialty Beers","Low Alcohol Beer"
"75","Specialty Beers","Pumpkin Beer *"
"76","Specialty Beers","Rye Beer *"
"77","Specialty Beers","Smoked Beer *"
"78","Stouts","Stout - American *"
"79","Stouts","Stout - American Imperial *"
"80","Stouts","Stout - English"
"81","Stouts","Stout - Foreign / Export"
"82","Stouts","Stout - Irish Dry *"
"83","Stouts","Stout - Oatmeal *"
"84","Stouts","Stout - Russian Imperial"
"85","Stouts","Stout - Sweet / Milk *"
"86","Strong Ales","Barleywine - American"
"87","Strong Ales","Barleywine - English"
"88","Strong Ales","Old Ale"
"89","Strong Ales","Quadrupel (Quad)"
"90","Strong Ales","Red Ale - Imperial *"
"91","Strong Ales","Scotch Ale / Wee Heavy"
"92","Strong Ales","Strong Ale - American"
"93","Strong Ales","Strong Ale - Belgian Dark"
"94","Strong Ales","Strong Ale - Belgian Pale"
"95","Strong Ales","Strong Ale - English"
"96","Strong Ales","Tripel"
"97","Strong Ales","Wheat Beer - Wheatwine *"
"98","Wheat Beers","Wheat Beer - American Dark"
"99","Wheat Beers","Wheat Beer - American Pale"
"100","Wheat Beers","Wheat Beer - Dunkelweizen"
"101","Wheat Beers","Wheat Beer - Hefeweizen"
"102","Wheat Beers","Wheat Beer - Kristallweizen"
"103","Wheat Beers","Wheat Beer - Witbier"
"104","Wild/Sour Beers","Brett Beer *"
"105","Wild/Sour Beers","Lambic - Faro"
"106","Wild/Sour Beers","Lambic - Fruit *"
"107","Wild/Sour Beers","Lambic - Gueuze"
"108","Wild/Sour Beers","Lambic - Traditional"
"109","Wild/Sour Beers","Sour - Berliner Weisse *"
"110","Wild/Sour Beers","Sour - Flanders Oud Bruin"
"111","Wild/Sour Beers","Sour - Flanders Red Ale"
"112","Wild/Sour Beers","Sour - Fruited Kettle Sour"
"113","Wild/Sour Beers","Sour - Gose *"
"114","Wild/Sour Beers","Wild Ale"
